#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1165:1036491-1037870|- -            460 540at766             -            373  5.4e-163  538.4  26.7   1   1  1.7e-160  3.6e-158  522.6  26.7     1   373     1   451     1   451 0.85 contig_1165_1030 # 1036491 # 1037870 # -1 # ID=1_1030;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
contig_1165:187921-189294|+   -            458 540at766             -            373   6.4e-83  274.9  13.0   1   2   1.5e-27   3.1e-25   85.1   0.4     1    94     1   108     1   112 0.82 contig_1165_180 # 187921 # 189294 # 1 # ID=1_180;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
contig_1165:187921-189294|+   -            458 540at766             -            373   6.4e-83  274.9  13.0   2   2   1.7e-59   3.6e-57  190.2   7.9    81   372   110   449   103   450 0.81 contig_1165_180 # 187921 # 189294 # 1 # ID=1_180;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
contig_1165:1032895-1033842|+ -            316 540at766             -            373   2.7e-12   42.5   0.4   1   1   2.4e-13     5e-11   38.3   0.4     5   201     9   215     4   295 0.77 contig_1165_1026 # 1032895 # 1033842 # 1 # ID=1_1026;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
contig_1165:819962-820978|-   -            339 540at766             -            373   1.9e-07   26.5   0.6   1   2   1.2e-08   2.5e-06   22.8   0.4     4   144     3   160     1   185 0.56 contig_1165_814 # 819962 # 820978 # -1 # ID=1_814;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.363
contig_1165:819962-820978|-   -            339 540at766             -            373   1.9e-07   26.5   0.6   2   2     0.081        17    0.4   0.0   227   242   273   288   262   297 0.79 contig_1165_814 # 819962 # 820978 # -1 # ID=1_814;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.363
contig_1165:792461-794395|+   -            645 540at766             -            373   6.6e-05   18.2   0.2   1   1   5.2e-07   0.00011   17.4   0.2     1    35     1    35     1   107 0.91 contig_1165_786 # 792461 # 794395 # 1 # ID=1_786;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.395
contig_1165:75024-76823|-     -            600 540at766             -            373   0.00027   16.2   0.5   1   2     3e-06   0.00064   14.9   0.1     2    34    11    43    10    60 0.92 contig_1165_71 # 75024 # 76823 # -1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.429
contig_1165:75024-76823|-     -            600 540at766             -            373   0.00027   16.2   0.5   2   2       1.7   3.5e+02   -4.0   0.0   339   366   521   548   515   550 0.85 contig_1165_71 # 75024 # 76823 # -1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.429
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/540at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/run_rickettsiales_odb10/hmmer_output/540at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/540at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Aug 29 11:53:23 2025
# [ok]
