#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1165_pilon:1028420-1029790|- -            457 540at766             -            373    1e-164  544.0  26.7   1   1  2.2e-162  4.6e-160  528.8  26.7     1   373     1   448     1   448 0.85 contig_1165_pilon_1010 # 1028420 # 1029790 # -1 # ID=1_1010;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.392
contig_1165_pilon:184323-185696|+   -            458 540at766             -            373     1e-82  274.2  13.2   1   2   1.4e-27   2.8e-25   85.2   0.4     1    94     1   108     1   115 0.83 contig_1165_pilon_176 # 184323 # 185696 # 1 # ID=1_176;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
contig_1165_pilon:184323-185696|+   -            458 540at766             -            373     1e-82  274.2  13.2   2   2   2.7e-59   5.5e-57  189.5   7.2    83   372   120   449   108   450 0.82 contig_1165_pilon_176 # 184323 # 185696 # 1 # ID=1_176;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
contig_1165_pilon:1024842-1025780|+ -            313 540at766             -            373   2.5e-11   39.3   0.5   1   1   8.9e-13   1.8e-10   36.4   0.5     5   218     9   248     5   292 0.69 contig_1165_pilon_1007 # 1024842 # 1025780 # 1 # ID=1_1007;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.391
contig_1165_pilon:812603-813619|-   -            339 540at766             -            373     1e-06   24.1   0.9   1   2     6e-08   1.2e-05   20.5   0.4     4   144     3   160     1   185 0.56 contig_1165_pilon_792 # 812603 # 813619 # -1 # ID=1_792;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
contig_1165_pilon:812603-813619|-   -            339 540at766             -            373     1e-06   24.1   0.9   2   2      0.08        17    0.4   0.0   227   242   273   288   261   296 0.79 contig_1165_pilon_792 # 812603 # 813619 # -1 # ID=1_792;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
contig_1165_pilon:785104-787038|+   -            645 540at766             -            373   8.1e-05   17.9   0.5   1   1   6.5e-07   0.00014   17.1   0.5     1    35     1    35     1    54 0.84 contig_1165_pilon_766 # 785104 # 787038 # 1 # ID=1_766;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.395
contig_1165_pilon:73432-75231|-     -            600 540at766             -            373   0.00024   16.3   0.5   1   2     3e-06   0.00063   14.9   0.1     2    34    11    43    10    60 0.92 contig_1165_pilon_70 # 73432 # 75231 # -1 # ID=1_70;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.429
contig_1165_pilon:73432-75231|-     -            600 540at766             -            373   0.00024   16.3   0.5   2   2      0.82   1.7e+02   -3.0   0.0   338   367   520   549   476   551 0.81 contig_1165_pilon_70 # 73432 # 75231 # -1 # ID=1_70;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.429
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/540at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/polished/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/polished/run_rickettsiales_odb10/hmmer_output/540at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/540at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/polished/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Aug 29 11:49:12 2025
# [ok]
