# BUSCO version is: 6.0.0 
# The lineage dataset is: rickettsiales_odb10 (Creation date: 2024-01-08, number of genomes: 34, number of BUSCOs: 364)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
3at766	Complete	contig_1165	474477	465964	-	2069.3	1189	https://v10-1.orthodb.org/?query=3at766	DNA-directed RNA polymerase subunit beta'
12at766	Missing
14at766	Complete	contig_1165	1009763	1006401	-	1380.1	897	https://v10-1.orthodb.org/?query=14at766	DNA polymerase III subunit alpha
22at766	Complete	contig_1165	287918	292642	+	1450.1	1187	https://v10-1.orthodb.org/?query=22at766	NAD-glutamate dehydrogenase
43at766	Complete	contig_1165	1228604	1225944	-	1157.4	682	https://v10-1.orthodb.org/?query=43at766	SecA, preprotein cross-linking domain
47at766	Complete	contig_1165	321129	323624	+	1043.2	704	https://v10-1.orthodb.org/?query=47at766	DNA mismatch repair protein MutS
49at766	Complete	contig_1165	1094475	1097249	+	1089.3	717	https://v10-1.orthodb.org/?query=49at766	Pyruvate, phosphate dikinase
59at766	Complete	contig_1165	150436	153705	+	710.9	623	https://v10-1.orthodb.org/?query=59at766	DNA helicase
60at766	Complete	contig_1165	95360	92025	-	1314.6	805	https://v10-1.orthodb.org/?query=60at766	Isoleucine--tRNA ligase
100at766	Complete	contig_1165	391698	389269	-	1030.7	611	https://v10-1.orthodb.org/?query=100at766	DNA gyrase subunit B
101at766	Complete	contig_1165	927125	929758	+	949.9	678	https://v10-1.orthodb.org/?query=101at766	Alanine--tRNA ligase
117at766	Complete	contig_1165	87137	89476	+	738.9	617	https://v10-1.orthodb.org/?query=117at766	Phenylalanine--tRNA ligase beta subunit
119at766	Complete	contig_1165	196010	198463	+	1110.2	681	https://v10-1.orthodb.org/?query=119at766	Lon protease
129at766	Complete	contig_1165	610855	613557	+	1217.4	754	https://v10-1.orthodb.org/?query=129at766	DNA gyrase subunit A
132at766	Complete	contig_1165	932649	935054	+	1225.1	670	https://v10-1.orthodb.org/?query=132at766	CagE, TrbE, VirB component of type IV transporter system
150at766	Complete	contig_1165	480987	478912	-	1040.7	576	https://v10-1.orthodb.org/?query=150at766	Elongation factor G
153at766	Complete	contig_1165	437591	435075	-	1155.5	695	https://v10-1.orthodb.org/?query=153at766	Leucine--tRNA ligase
162at766	Complete	contig_1165	285329	287890	+	1188.6	705	https://v10-1.orthodb.org/?query=162at766	Clp, N-terminal
170at766	Complete	contig_1165	79913	81988	+	880.9	545	https://v10-1.orthodb.org/?query=170at766	Single hybrid motif
172at766	Complete	contig_1165	344509	346578	+	969.3	589	https://v10-1.orthodb.org/?query=172at766	NADH-quinone oxidoreductase
176at766	Complete	contig_1165	893068	890795	-	860.5	573	https://v10-1.orthodb.org/?query=176at766	Polyribonucleotide nucleotidyltransferase
197at766	Complete	contig_1165	973382	971361	-	762.0	554	https://v10-1.orthodb.org/?query=197at766	Helicase, C-terminal
216at766	Complete	contig_1165	314217	316001	+	1000.2	520	https://v10-1.orthodb.org/?query=216at766	Ribonucleoside-diphosphate reductase
