# BUSCO version is: 6.0.0 
# The lineage dataset is: rickettsiales_odb10 (Creation date: 2024-01-08, number of genomes: 34, number of BUSCOs: 364)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
3at766	Complete	wRi_Merrill23_polished	1165707	1157194	-	2071.8	1189	https://v10-1.orthodb.org/?query=3at766	DNA-directed RNA polymerase subunit beta'
12at766	Missing
14at766	Complete	wRi_Merrill23_polished	513426	509950	-	1381.8	897	https://v10-1.orthodb.org/?query=14at766	DNA polymerase III subunit alpha
22at766	Complete	wRi_Merrill23_polished	970418	975151	+	1446.9	1184	https://v10-1.orthodb.org/?query=22at766	NAD-glutamate dehydrogenase
43at766	Complete	wRi_Merrill23_polished	796073	793413	-	1153.6	682	https://v10-1.orthodb.org/?query=43at766	SecA, preprotein cross-linking domain
47at766	Complete	wRi_Merrill23_polished	1006553	1009063	+	1040.9	704	https://v10-1.orthodb.org/?query=47at766	DNA mismatch repair protein MutS
49at766	Complete	wRi_Merrill23_polished	620595	623360	+	1090.2	718	https://v10-1.orthodb.org/?query=49at766	Pyruvate, phosphate dikinase
59at766	Complete	wRi_Merrill23_polished	726862	723563	-	714.7	623	https://v10-1.orthodb.org/?query=59at766	DNA helicase
60at766	Complete	wRi_Merrill23_polished	835291	838602	+	1315.1	804	https://v10-1.orthodb.org/?query=60at766	Isoleucine--tRNA ligase
100at766	Complete	wRi_Merrill23_polished	1043699	1046128	+	1031.9	611	https://v10-1.orthodb.org/?query=100at766	DNA gyrase subunit B
101at766	Complete	wRi_Merrill23_polished	283465	286107	+	963.6	674	https://v10-1.orthodb.org/?query=101at766	Alanine--tRNA ligase
117at766	Complete	wRi_Merrill23_polished	843490	841151	-	737.7	617	https://v10-1.orthodb.org/?query=117at766	Phenylalanine--tRNA ligase beta subunit
119at766	Complete	wRi_Merrill23_polished	675478	677931	+	1112.8	681	https://v10-1.orthodb.org/?query=119at766	Lon protease
129at766	Missing
132at766	Complete	wRi_Merrill23_polished	289119	291524	+	1225.1	670	https://v10-1.orthodb.org/?query=132at766	CagE, TrbE, VirB component of type IV transporter system
150at766	Complete	wRi_Merrill23_polished	1172217	1170142	-	1040.7	576	https://v10-1.orthodb.org/?query=150at766	Elongation factor G
153at766	Complete	wRi_Merrill23_polished	1131729	1129213	-	1149.0	695	https://v10-1.orthodb.org/?query=153at766	Leucine--tRNA ligase
162at766	Complete	wRi_Merrill23_polished	967829	970390	+	1184.4	704	https://v10-1.orthodb.org/?query=162at766	Clp, N-terminal
170at766	Complete	wRi_Merrill23_polished	850714	848639	-	881.6	545	https://v10-1.orthodb.org/?query=170at766	Single hybrid motif
172at766	Complete	wRi_Merrill23_polished	1096014	1093945	-	969.4	589	https://v10-1.orthodb.org/?query=172at766	NADH-quinone oxidoreductase
176at766	Complete	wRi_Merrill23_polished	269653	271926	+	861.7	573	https://v10-1.orthodb.org/?query=176at766	Polyribonucleotide nucleotidyltransferase
197at766	Complete	wRi_Merrill23_polished	333660	331639	-	765.1	554	https://v10-1.orthodb.org/?query=197at766	Helicase, C-terminal
216at766	Complete	wRi_Merrill23_polished	999467	1001251	+	1000.2	520	https://v10-1.orthodb.org/?query=216at766	Ribonucleoside-diphosphate reductase
222at766	Complete	wRi_Merrill23_polished	1040818	1038224	-	1046.1	665	https://v10-1.orthodb.org/?query=222at766	Aconitate hydratase
246at766	Complete	wRi_Merrill23_polished	1208779	1206134	-	1079.3	705	https://v10-1.orthodb.org/?query=246at766	2-oxoglutarate dehydrogenase E1 component
248at766	Complete	wRi_Merrill23_polished	1211469	1209652	-	658.4	472	https://v10-1.orthodb.org/?query=248at766	DNA mismatch repair protein MutL
255at766	Complete	wRi_Merrill23_polished	874228	876024	+	979.8	536	https://v10-1.orthodb.org/?query=255at766	Elongation factor 4
256at766	Complete	wRi_Merrill23_polished	964722	966551	+	956.9	533	https://v10-1.orthodb.org/?query=256at766	GTP-binding protein
257at766	Missing
283at766	Complete	wRi_Merrill23_polished	853818	855617	+	953.5	501	https://v10-1.orthodb.org/?query=283at766	Succinate dehydrogenase flavoprotein subunit
286at766	Complete	wRi_Merrill23_polished	157679	160255	+	933.1	667	https://v10-1.orthodb.org/?query=286at766	DNA polymerase I
300at766	Complete	wRi_Merrill23_polished	525598	523853	-	673.8	476	https://v10-1.orthodb.org/?query=300at766	ABC transporter type 1, transmembrane domain
311at766	Complete	wRi_Merrill23_polished	891013	893484	+	1051.7	670	https://v10-1.orthodb.org/?query=311at766	Valine--tRNA ligase
312at766	Complete	wRi_Merrill23_polished	656608	658158	+	880.7	475	https://v10-1.orthodb.org/?query=312at766	Cytochrome c oxidase subunit I
322at766	Complete	wRi_Merrill23_polished	258661	260409	+	549.7	433	https://v10-1.orthodb.org/?query=322at766	Heat shock protein 70 family
348at766	Complete	wRi_Merrill23_polished	183036	184937	+	884.0	503	https://v10-1.orthodb.org/?query=348at766	Threonine--tRNA ligase
349at766	Complete	wRi_Merrill23_polished	227134	229056	+	971.0	543	https://v10-1.orthodb.org/?query=349at766	Chaperone protein DnaK
350at766	Complete	wRi_Merrill23_polished	1178221	1176203	-	1041.0	490	https://v10-1.orthodb.org/?query=350at766	Type IV secretion system protein TraG/VirD4
363at766	Missing
364at766	Complete	wRi_Merrill23_polished	35161	37611	+	1006.9	666	https://v10-1.orthodb.org/?query=364at766	DNA topoisomerase I, type IA
377at766	Missing
382at766	Complete	wRi_Merrill23_polished	646233	647774	+	741.5	408	https://v10-1.orthodb.org/?query=382at766	ATP synthase subunit alpha
383at766	Complete	wRi_Merrill23_polished	152148	153815	+	508.1	372	https://v10-1.orthodb.org/?query=383at766	Peptidase M24
384at766	Complete	wRi_Merrill23_polished	715925	717571	+	626.8	387	https://v10-1.orthodb.org/?query=384at766	Methionine--tRNA ligase
392at766	Complete	wRi_Merrill23_polished	1241061	1239166	-	880.5	530	https://v10-1.orthodb.org/?query=392at766	Histidine kinase/HSP90-like ATPase
400at766	Complete	wRi_Merrill23_polished	933646	935115	+	666.2	420	https://v10-1.orthodb.org/?query=400at766	Glutamyl-tRNA(Gln) amidotransferase subunit A
404at766	Complete	wRi_Merrill23_polished	1136496	1134958	-	556.4	356	https://v10-1.orthodb.org/?query=404at766	leucyl aminopeptidase
406at766	Complete	wRi_Merrill23_polished	199145	201061	+	759.2	511	https://v10-1.orthodb.org/?query=406at766	DNA helicase
421at766	Complete	wRi_Merrill23_polished	515508	517496	+	795.2	564	https://v10-1.orthodb.org/?query=421at766	DNA ligase
430at766	Complete	wRi_Merrill23_polished	1215125	1217077	+	621.6	441	https://v10-1.orthodb.org/?query=430at766	RNA polymerase sigma-70
431at766	Complete	wRi_Merrill23_polished	1083279	1081906	-	501.8	343	https://v10-1.orthodb.org/?query=431at766	Cysteine--tRNA ligase
452at766	Complete	wRi_Merrill23_polished	1268088	1266763	-	374.4	327	https://v10-1.orthodb.org/?query=452at766	GTPase Der
483at766	Missing
496at766	Complete	wRi_Merrill23_polished	825647	827449	+	845.3	504	https://v10-1.orthodb.org/?query=496at766	Aspartate--tRNA(Asp/Asn) ligase
498at766	Complete	wRi_Merrill23_polished	832189	833508	+	596.6	359	https://v10-1.orthodb.org/?query=498at766	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
503at766	Complete	wRi_Merrill23_polished	689080	690729	+	648.3	448	https://v10-1.orthodb.org/?query=503at766	GroEL-like apical domain superfamily
514at766	Complete	wRi_Merrill23_polished	222957	221527	-	448.1	318	https://v10-1.orthodb.org/?query=514at766	UbiB domain
538at766	Complete	wRi_Merrill23_polished	150205	152139	+	844.6	530	https://v10-1.orthodb.org/?query=538at766	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
540at766	Complete	wRi_Merrill23_polished	396812	398182	+	544.0	373	https://v10-1.orthodb.org/?query=540at766	Dihydrolipoyl dehydrogenase
544at766	Complete	wRi_Merrill23_polished	288704	287169	-	736.6	446	https://v10-1.orthodb.org/?query=544at766	Lysine--tRNA ligase
559at766	Complete	wRi_Merrill23_polished	30589	29312	-	664.0	356	https://v10-1.orthodb.org/?query=559at766	Serine hydroxymethyltransferase
573at766	Complete	wRi_Merrill23_polished	1366	2646	+	429.7	321	https://v10-1.orthodb.org/?query=573at766	Folylpolyglutamate synthase
584at766	Complete	wRi_Merrill23_polished	188240	186987	-	683.7	365	https://v10-1.orthodb.org/?query=584at766	NADH-ubiquinone oxidoreductase 51kDa subunit, FMN-binding domain
592at766	Complete	wRi_Merrill23_polished	1098610	1099848	+	399.1	322	https://v10-1.orthodb.org/?query=592at766	Cell division protein FtsA
595at766	Complete	wRi_Merrill23_polished	1236298	1235090	-	542.9	340	https://v10-1.orthodb.org/?query=595at766	5-aminolevulinate synthase
605at766	Missing
613at766	Missing
620at766	Complete	wRi_Merrill23_polished	864598	865770	+	439.6	322	https://v10-1.orthodb.org/?query=620at766	poly(A) polymerase
624at766	Complete	wRi_Merrill23_polished	991383	989932	-	783.4	408	https://v10-1.orthodb.org/?query=624at766	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
634at766	Missing
646at766	Missing
650at766	Complete	wRi_Merrill23_polished	674185	675462	+	513.3	316	https://v10-1.orthodb.org/?query=650at766	Zinc finger, ClpX C4-type
652at766	Complete	wRi_Merrill23_polished	685045	686784	+	681.8	483	https://v10-1.orthodb.org/?query=652at766	Single-stranded-DNA-specific exonuclease RecJ
678at766	Complete	wRi_Merrill23_polished	651669	653261	+	633.4	435	https://v10-1.orthodb.org/?query=678at766	HlyD family type I secretion periplasmic adaptor subunit
686at766	Complete	wRi_Merrill23_polished	384880	383606	-	488.0	353	https://v10-1.orthodb.org/?query=686at766	peptidase M16
697at766	Complete	wRi_Merrill23_polished	1191520	1193082	+	530.4	416	https://v10-1.orthodb.org/?query=697at766	Transcription termination/antitermination protein NusA
710at766	Complete	wRi_Merrill23_polished	498935	500371	+	636.5	374	https://v10-1.orthodb.org/?query=710at766	isocitrate dehydrogenase
712at766	Complete	wRi_Merrill23_polished	1142938	1144605	+	646.3	444	https://v10-1.orthodb.org/?query=712at766	Metallo-beta-lactamase
740at766	Complete	wRi_Merrill23_polished	773027	774700	+	681.7	460	https://v10-1.orthodb.org/?query=740at766	Arginine--tRNA ligase
757at766	Complete	wRi_Merrill23_polished	1186373	1184991	-	616.6	358	https://v10-1.orthodb.org/?query=757at766	Chromosomal replication initiator protein DnaA
770at766	Complete	wRi_Merrill23_polished	1154174	1152876	-	531.3	344	https://v10-1.orthodb.org/?query=770at766	Serine--tRNA ligase
786at766	Complete	wRi_Merrill23_polished	225275	227047	+	682.5	467	https://v10-1.orthodb.org/?query=786at766	RNA-binding domain, S1
788at766	Complete	wRi_Merrill23_polished	1090155	1088038	-	569.1	532	https://v10-1.orthodb.org/?query=788at766	Glycine--tRNA ligase beta subunit
794at766	Complete	wRi_Merrill23_polished	195620	194178	-	502.2	341	https://v10-1.orthodb.org/?query=794at766	NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit
803at766	Complete	wRi_Merrill23_polished	951961	950261	-	572.3	433	https://v10-1.orthodb.org/?query=803at766	Membrane protein insertase YidC
805at766	Complete	wRi_Merrill23_polished	505220	504072	-	374.0	290	https://v10-1.orthodb.org/?query=805at766	Succinyl-diaminopimelate desuccinylase
812at766	Complete	wRi_Merrill23_polished	379769	380986	+	475.5	308	https://v10-1.orthodb.org/?query=812at766	Queuine tRNA-ribosyltransferase
823at766	Complete	wRi_Merrill23_polished	933256	932030	-	504.3	311	https://v10-1.orthodb.org/?query=823at766	Methylthiotransferase, N-terminal
843at766	Complete	wRi_Merrill23_polished	1076678	1078099	+	664.8	416	https://v10-1.orthodb.org/?query=843at766	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
857at766	Missing
872at766	Complete	wRi_Merrill23_polished	121834	123084	+	453.6	295	https://v10-1.orthodb.org/?query=872at766	Citrate synthase
896at766	Complete	wRi_Merrill23_polished	975424	976800	+	483.0	347	https://v10-1.orthodb.org/?query=896at766	Signal transduction response regulator, receiver domain
910at766	Complete	wRi_Merrill23_polished	920843	919407	-	626.5	383	https://v10-1.orthodb.org/?query=910at766	Fumarate hydratase class II
931at766	Complete	wRi_Merrill23_polished	343098	341830	-	553.3	347	https://v10-1.orthodb.org/?query=931at766	Proline--tRNA ligase
933at766	Complete	wRi_Merrill23_polished	197480	195624	-	730.5	510	https://v10-1.orthodb.org/?query=933at766	NADH-plastoquinone oxidoreductase, chain 5
935at766	Complete	wRi_Merrill23_polished	323720	322236	-	416.2	283	https://v10-1.orthodb.org/?query=935at766	Peptidase S1C
947at766	Missing
968at766	Complete	wRi_Merrill23_polished	713258	711510	-	512.6	448	https://v10-1.orthodb.org/?query=968at766	DNA primase
971at766	Complete	wRi_Merrill23_polished	368543	369739	+	648.8	376	https://v10-1.orthodb.org/?query=971at766	Cell division protein FtsZ
977at766	Missing
982at766	Complete	wRi_Merrill23_polished	777451	776279	-	728.9	363	https://v10-1.orthodb.org/?query=982at766	NADH-quinone oxidoreductase subunit D
996at766	Complete	wRi_Merrill23_polished	804087	804995	+	294.2	224	https://v10-1.orthodb.org/?query=996at766	Porphobilinogen deaminase
997at766	Complete	wRi_Merrill23_polished	165520	166767	+	665.3	358	https://v10-1.orthodb.org/?query=997at766	Cysteine desulfurase IscS
