#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
wRi_Merrill23_polished:396812-398182|+ -            457 540at766             -            373  1.1e-164  544.0  26.7   1   1  2.2e-162  4.7e-160  528.8  26.7     1   373     1   448     1   448 0.85 wRi_Merrill23_polished_384 # 396812 # 398182 # 1 # ID=1_384;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.392
wRi_Merrill23_polished:667389-668762|+ -            458 540at766             -            373   1.1e-82  274.2  13.2   1   2   1.4e-27   2.9e-25   85.2   0.4     1    94     1   108     1   115 0.83 wRi_Merrill23_polished_645 # 667389 # 668762 # 1 # ID=1_645;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
wRi_Merrill23_polished:667389-668762|+ -            458 540at766             -            373   1.1e-82  274.2  13.2   2   2   2.7e-59   5.6e-57  189.5   7.2    83   372   120   449   108   450 0.82 wRi_Merrill23_polished_645 # 667389 # 668762 # 1 # ID=1_645;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
wRi_Merrill23_polished:538388-539326|+ -            313 540at766             -            373   2.5e-11   39.3   0.5   1   1   8.9e-13   1.9e-10   36.4   0.5     5   218     9   248     5   292 0.69 wRi_Merrill23_polished_516 # 538388 # 539326 # 1 # ID=1_516;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.391
wRi_Merrill23_polished:179470-180486|- -            339 540at766             -            373     1e-06   24.1   0.9   1   2     6e-08   1.3e-05   20.5   0.4     4   144     3   160     1   185 0.56 wRi_Merrill23_polished_168 # 179470 # 180486 # -1 # ID=1_168;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
wRi_Merrill23_polished:179470-180486|- -            339 540at766             -            373     1e-06   24.1   0.9   2   2      0.08        17    0.4   0.0   227   242   273   288   261   296 0.79 wRi_Merrill23_polished_168 # 179470 # 180486 # -1 # ID=1_168;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
wRi_Merrill23_polished:150205-152139|+ -            645 540at766             -            373   8.2e-05   17.9   0.5   1   1   6.5e-07   0.00014   17.1   0.5     1    35     1    35     1    54 0.84 wRi_Merrill23_polished_140 # 150205 # 152139 # 1 # ID=1_140;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.395
wRi_Merrill23_polished:853818-855617|+ -            600 540at766             -            373   0.00024   16.3   0.5   1   2     3e-06   0.00064   14.9   0.1     2    34    11    43    10    60 0.92 wRi_Merrill23_polished_826 # 853818 # 855617 # 1 # ID=1_826;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.429
wRi_Merrill23_polished:853818-855617|+ -            600 540at766             -            373   0.00024   16.3   0.5   2   2      0.82   1.7e+02   -3.0   0.0   338   367   520   549   476   551 0.81 wRi_Merrill23_polished_826 # 853818 # 855617 # 1 # ID=1_826;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.429
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/540at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/polished/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/polished/run_rickettsiales_odb10/hmmer_output/540at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/540at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/polished/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Jan 16 13:08:25 2026
# [ok]
