#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1165:1018725-1020470|- -            582 300at766             -            479  4.2e-204  674.7   8.1   1   1    8e-206  9.2e-204  673.6   8.1     4   479    18   562    15   562 0.90 contig_1165_1012 # 1018725 # 1020470 # -1 # ID=1_1012;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
contig_1165:112707-114413|-   -            569 300at766             -            479   1.4e-48  161.8   0.4   1   1   1.2e-50   1.4e-48  161.8   0.4   264   478   330   553   298   554 0.89 contig_1165_102 # 112707 # 114413 # -1 # ID=1_102;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.357
contig_1165:1161719-1163494|- -            592 300at766             -            479   2.2e-43  144.7   1.2   1   2     0.024       2.7    2.6   1.5    94   169   139   212   102   237 0.71 contig_1165_1165 # 1161719 # 1163494 # -1 # ID=1_1165;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.317
contig_1165:1161719-1163494|- -            592 300at766             -            479   2.2e-43  144.7   1.2   2   2   1.9e-45   2.2e-43  144.7   1.2   265   477   347   569   294   571 0.91 contig_1165_1165 # 1161719 # 1163494 # -1 # ID=1_1165;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.317
contig_1165:354612-355385|+   -            258 300at766             -            479   1.9e-26   88.9   0.5   1   1   1.9e-28   2.2e-26   88.6   0.5   276   470    16   214     3   224 0.84 contig_1165_352 # 354612 # 355385 # 1 # ID=1_352;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.337
contig_1165:1080248-1080922|+ -            225 300at766             -            479   4.1e-26   87.7   0.4   1   1   4.3e-28   4.9e-26   87.5   0.4   275   468    20   220     6   223 0.86 contig_1165_1075 # 1080248 # 1080922 # 1 # ID=1_1075;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_1165:814553-815254|-   -            234 300at766             -            479   3.6e-25   84.6   1.3   1   1   3.9e-27   4.5e-25   84.3   1.3   274   478    17   219     1   220 0.79 contig_1165_808 # 814553 # 815254 # -1 # ID=1_808;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.323
contig_1165:862940-863635|-   -            232 300at766             -            479   1.5e-23   79.3   0.9   1   1   1.6e-25   1.9e-23   79.0   0.9   274   479    20   217     3   217 0.87 contig_1165_863 # 862940 # 863635 # -1 # ID=1_863;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
contig_1165:57467-58108|-     -            214 300at766             -            479   1.3e-20   69.6   1.1   1   1   2.5e-21   2.9e-19   65.2   1.1   272   471    11   195     3   202 0.81 contig_1165_55 # 57467 # 58108 # -1 # ID=1_55;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.324
contig_1165:143675-144433|-   -            253 300at766             -            479   1.2e-18   63.1   0.0   1   1   1.3e-20   1.5e-18   62.8   0.0   274   478    17   237     4   238 0.83 contig_1165_134 # 143675 # 144433 # -1 # ID=1_134;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.361
contig_1165:105945-106568|+   -            208 300at766             -            479   4.3e-18   61.3   0.0   1   1   4.6e-20   5.4e-18   61.0   0.0   274   453    13   187     3   197 0.87 contig_1165_95 # 105945 # 106568 # 1 # ID=1_95;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.365
contig_1165:877612-880407|-   -            932 300at766             -            479   1.8e-14   49.4   1.4   1   4    0.0075      0.87    4.2   0.1   277   305    14    42     9    46 0.92 contig_1165_880 # 877612 # 880407 # -1 # ID=1_880;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165:877612-880407|-   -            932 300at766             -            479   1.8e-14   49.4   1.4   2   4   3.4e-06   0.00039   15.3   0.0   388   462   474   551   468   573 0.83 contig_1165_880 # 877612 # 880407 # -1 # ID=1_880;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165:877612-880407|-   -            932 300at766             -            479   1.8e-14   49.4   1.4   3   4   0.00028     0.032    9.0   0.0   258   305   594   641   587   664 0.83 contig_1165_880 # 877612 # 880407 # -1 # ID=1_880;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165:877612-880407|-   -            932 300at766             -            479   1.8e-14   49.4   1.4   4   4   1.4e-06   0.00016   16.6   0.0   392   464   818   894   810   916 0.78 contig_1165_880 # 877612 # 880407 # -1 # ID=1_880;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/300at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/run_rickettsiales_odb10/hmmer_output/300at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/300at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Aug 29 11:53:22 2025
# [ok]
