#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1165:862940-863635|-   -            232 2809at766            -            212   2.7e-78  258.6  11.3   1   1   2.2e-78   2.4e-76  252.2  11.3     2   200     5   228     4   231 0.88 contig_1165_863 # 862940 # 863635 # -1 # ID=1_863;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
contig_1165:57467-58108|-     -            214 2809at766            -            212   1.1e-29   99.8   2.9   1   1   3.8e-31   4.1e-29   97.9   2.9     5   195     1   210     1   213 0.82 contig_1165_55 # 57467 # 58108 # -1 # ID=1_55;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.324
contig_1165:354612-355385|+   -            258 2809at766            -            212   6.3e-29   97.2   6.2   1   3   1.7e-11   1.8e-09   33.7   0.4     8    57     3    54     1    85 0.86 contig_1165_352 # 354612 # 355385 # 1 # ID=1_352;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.337
contig_1165:354612-355385|+   -            258 2809at766            -            212   6.3e-29   97.2   6.2   2   3      0.42        45   -0.3   0.0    12    30    87   105    73   109 0.82 contig_1165_352 # 354612 # 355385 # 1 # ID=1_352;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.337
contig_1165:354612-355385|+   -            258 2809at766            -            212   6.3e-29   97.2   6.2   3   3   3.1e-21   3.3e-19   65.5   0.5    80   204   113   242   107   247 0.86 contig_1165_352 # 354612 # 355385 # 1 # ID=1_352;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.337
contig_1165:112707-114413|-   -            569 2809at766            -            212   1.5e-28   96.0   0.2   1   2   2.8e-13     3e-11   39.5   0.0     6    54   332   380   328   388 0.93 contig_1165_102 # 112707 # 114413 # -1 # ID=1_102;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.357
contig_1165:112707-114413|-   -            569 2809at766            -            212   1.5e-28   96.0   0.2   2   2   1.3e-17   1.4e-15   53.7   0.1    94   180   460   543   445   562 0.87 contig_1165_102 # 112707 # 114413 # -1 # ID=1_102;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.357
contig_1165:814553-815254|-   -            234 2809at766            -            212   7.8e-28   93.7   3.4   1   2   8.9e-11   9.4e-09   31.3   0.1     2    55     2    55     1    61 0.95 contig_1165_808 # 814553 # 815254 # -1 # ID=1_808;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.323
contig_1165:814553-815254|-   -            234 2809at766            -            212   7.8e-28   93.7   3.4   2   2   2.3e-20   2.4e-18   62.7   0.9    83   195   111   227    87   232 0.84 contig_1165_808 # 814553 # 815254 # -1 # ID=1_808;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.323
contig_1165:143675-144433|-   -            253 2809at766            -            212   3.9e-26   88.1   0.3   1   2   9.8e-11     1e-08   31.2   0.0     6    52     6    52     1    59 0.90 contig_1165_134 # 143675 # 144433 # -1 # ID=1_134;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.361
contig_1165:143675-144433|-   -            253 2809at766            -            212   3.9e-26   88.1   0.3   2   2   4.8e-18   5.1e-16   55.1   0.3    94   194   143   243   122   251 0.85 contig_1165_134 # 143675 # 144433 # -1 # ID=1_134;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.361
contig_1165:1080248-1080922|+ -            225 2809at766            -            212   1.2e-23   80.0   0.9   1   3   2.6e-11   2.7e-09   33.1   0.3     5    51     6    53     3    65 0.86 contig_1165_1075 # 1080248 # 1080922 # 1 # ID=1_1075;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_1165:1080248-1080922|+ -            225 2809at766            -            212   1.2e-23   80.0   0.9   2   3         2   2.1e+02   -2.5   0.0   170   190    61    81    58    95 0.68 contig_1165_1075 # 1080248 # 1080922 # 1 # ID=1_1075;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_1165:1080248-1080922|+ -            225 2809at766            -            212   1.2e-23   80.0   0.9   3   3   5.1e-15   5.4e-13   45.2   0.0    85   161   127   203    95   217 0.92 contig_1165_1075 # 1080248 # 1080922 # 1 # ID=1_1075;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_1165:877612-880407|-   -            932 2809at766            -            212   1.9e-20   69.6   3.7   1   4     0.008      0.84    5.3   0.1    18    48    12    42     4    49 0.89 contig_1165_880 # 877612 # 880407 # -1 # ID=1_880;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165:877612-880407|-   -            932 2809at766            -            212   1.9e-20   69.6   3.7   2   4   7.8e-08   8.3e-06   21.7   0.0    88   191   465   577   445   591 0.78 contig_1165_880 # 877612 # 880407 # -1 # ID=1_880;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165:877612-880407|-   -            932 2809at766            -            212   1.9e-20   69.6   3.7   3   4    0.0016      0.17    7.6   0.2    16    48   609   641   599   653 0.86 contig_1165_880 # 877612 # 880407 # -1 # ID=1_880;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165:877612-880407|-   -            932 2809at766            -            212   1.9e-20   69.6   3.7   4   4   4.2e-11   4.4e-09   32.4   0.0    67   175   787   894   774   922 0.79 contig_1165_880 # 877612 # 880407 # -1 # ID=1_880;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_1165:105945-106568|+   -            208 2809at766            -            212   1.4e-17   60.1   0.0   1   2   5.7e-11   6.1e-09   32.0   0.0     5    55     1    51     1    55 0.95 contig_1165_95 # 105945 # 106568 # 1 # ID=1_95;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.365
contig_1165:105945-106568|+   -            208 2809at766            -            212   1.4e-17   60.1   0.0   2   2   3.1e-09   3.3e-07   26.3   0.0    81   160   107   185    92   195 0.87 contig_1165_95 # 105945 # 106568 # 1 # ID=1_95;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.365
