#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
wRi_Merrill23_polished:523853-525598|-   -            582 300at766             -            479    8e-204  673.8   8.5   1   1  1.8e-205  1.8e-203  672.6   8.5     4   479    18   562    15   562 0.90 wRi_Merrill23_polished_502 # 523853 # 525598 # -1 # ID=1_502;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
wRi_Merrill23_polished:677944-679725|-   -            594 300at766             -            479   3.4e-48  160.5   0.4   1   2       1.1   1.1e+02   -2.7   0.2   227   227   169   169    97   215 0.60 wRi_Merrill23_polished_655 # 677944 # 679725 # -1 # ID=1_655;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
wRi_Merrill23_polished:677944-679725|-   -            594 300at766             -            479   3.4e-48  160.5   0.4   2   2   3.6e-50   3.4e-48  160.5   0.4   259   478   337   566   305   567 0.90 wRi_Merrill23_polished_655 # 677944 # 679725 # -1 # ID=1_655;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
wRi_Merrill23_polished:766697-768406|+   -            570 300at766             -            479   1.2e-47  158.8   0.2   1   1   1.2e-49   1.2e-47  158.8   0.2   274   478   346   556   307   557 0.94 wRi_Merrill23_polished_742 # 766697 # 768406 # 1 # ID=1_742;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
wRi_Merrill23_polished:54722-56497|-     -            592 300at766             -            479   2.2e-43  144.7   1.2   1   2     0.028       2.7    2.6   1.5    94   169   139   212   102   237 0.71 wRi_Merrill23_polished_50 # 54722 # 56497 # -1 # ID=1_50;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
wRi_Merrill23_polished:54722-56497|-     -            592 300at766             -            479   2.2e-43  144.7   1.2   2   2   2.3e-45   2.2e-43  144.7   1.2   265   477   347   569   294   571 0.91 wRi_Merrill23_polished_50 # 54722 # 56497 # -1 # ID=1_50;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
wRi_Merrill23_polished:561185-562960|-   -            592 300at766             -            479   2.2e-43  144.7   1.2   1   2     0.028       2.7    2.6   1.5    94   169   139   212   102   237 0.71 wRi_Merrill23_polished_538 # 561185 # 562960 # -1 # ID=1_538;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
wRi_Merrill23_polished:561185-562960|-   -            592 300at766             -            479   2.2e-43  144.7   1.2   2   2   2.3e-45   2.2e-43  144.7   1.2   265   477   347   569   294   571 0.91 wRi_Merrill23_polished_538 # 561185 # 562960 # -1 # ID=1_538;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
wRi_Merrill23_polished:1085138-1085911|- -            258 300at766             -            479   1.9e-26   88.9   0.5   1   1   2.3e-28   2.2e-26   88.6   0.5   276   470    16   214     3   224 0.84 wRi_Merrill23_polished_1044 # 1085138 # 1085911 # -1 # ID=1_1044;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
wRi_Merrill23_polished:482310-482984|+   -            225 300at766             -            479   4.3e-26   87.7   0.4   1   1   5.3e-28   5.1e-26   87.4   0.4   275   468    20   220     6   223 0.85 wRi_Merrill23_polished_466 # 482310 # 482984 # 1 # ID=1_466;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
wRi_Merrill23_polished:174729-175430|-   -            234 300at766             -            479   3.6e-25   84.6   1.3   1   1   4.7e-27   4.5e-25   84.3   1.3   274   478    17   219     1   220 0.79 wRi_Merrill23_polished_163 # 174729 # 175430 # -1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.323
wRi_Merrill23_polished:222954-223649|-   -            232 300at766             -            479   6.8e-22   73.8   1.1   1   1   1.3e-23   1.2e-21   72.9   1.1   274   479    20   217     3   217 0.84 wRi_Merrill23_polished_216 # 222954 # 223649 # -1 # ID=1_216;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
wRi_Merrill23_polished:901578-902219|-   -            214 300at766             -            479   1.5e-20   69.4   1.3   1   1   6.6e-21   6.4e-19   64.0   1.3   272   471    11   195     3   202 0.82 wRi_Merrill23_polished_865 # 901578 # 902219 # -1 # ID=1_865;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.315
wRi_Merrill23_polished:732683-733441|+   -            253 300at766             -            479   1.2e-18   63.1   0.0   1   1   1.5e-20   1.4e-18   62.8   0.0   274   478    17   237     4   238 0.83 wRi_Merrill23_polished_705 # 732683 # 733441 # 1 # ID=1_705;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
wRi_Merrill23_polished:824392-825015|-   -            208 300at766             -            479   4.3e-18   61.3   0.0   1   1   5.5e-20   5.3e-18   61.0   0.0   274   453    13   187     3   197 0.87 wRi_Merrill23_polished_804 # 824392 # 825015 # -1 # ID=1_804;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.364
wRi_Merrill23_polished:233797-236592|-   -            932 300at766             -            479   7.9e-15   50.5   1.8   1   4    0.0067      0.65    4.6   0.1   276   305    13    42     8    46 0.92 wRi_Merrill23_polished_227 # 233797 # 236592 # -1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
wRi_Merrill23_polished:233797-236592|-   -            932 300at766             -            479   7.9e-15   50.5   1.8   2   4   1.6e-06   0.00015   16.6   0.0   388   462   474   551   461   573 0.84 wRi_Merrill23_polished_227 # 233797 # 236592 # -1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
wRi_Merrill23_polished:233797-236592|-   -            932 300at766             -            479   7.9e-15   50.5   1.8   3   4   0.00033     0.032    8.9   0.0   258   305   594   641   587   662 0.81 wRi_Merrill23_polished_227 # 233797 # 236592 # -1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
wRi_Merrill23_polished:233797-236592|-   -            932 300at766             -            479   7.9e-15   50.5   1.8   4   4   1.9e-06   0.00019   16.3   0.0   392   464   818   894   810   916 0.79 wRi_Merrill23_polished_227 # 233797 # 236592 # -1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/300at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/polished/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/polished/run_rickettsiales_odb10/hmmer_output/300at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/300at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/polished/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Jan 16 13:08:23 2026
# [ok]
