#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_70:56815-58653|-  -            613 257at766             -            501  1.1e-260  861.8  12.1   1   1  9.6e-262  1.5e-259  858.1  12.1    47   501   105   593    30   593 0.93 contig_70_56 # 56815 # 58653 # -1 # ID=64_56;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.372
contig_120:25539-26636|+ -            366 257at766             -            501   1.4e-59  198.4   0.0   1   1   1.1e-61   1.7e-59  198.2   0.0    49   337    49   353     2   362 0.80 contig_120_27 # 25539 # 26636 # 1 # ID=16_27;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.359
contig_120:11563-12294|- -            244 257at766             -            501   1.3e-31  106.3   0.1   1   1   9.7e-34   1.5e-31  106.0   0.1   131   310     3   178     1   193 0.86 contig_120_13 # 11563 # 12294 # -1 # ID=16_13;partial=00;start_type=TTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.336
contig_69:59050-60327|+  -            426 257at766             -            501   1.1e-08   30.6   0.0   1   1   1.2e-10   1.8e-08   29.9   0.0   126   199   117   196    79   221 0.80 contig_69_70 # 59050 # 60327 # 1 # ID=62_70;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.367
contig_69:60343-62796|+  -            818 257at766             -            501   3.5e-07   25.6   0.5   1   3   9.7e-09   1.5e-06   23.5   0.0    89   156   329   393   313   447 0.68 contig_69_71 # 60343 # 62796 # 1 # ID=62_71;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.363
contig_69:60343-62796|+  -            818 257at766             -            501   3.5e-07   25.6   0.5   2   3      0.35        56   -1.4   0.0   451   484   556   589   551   593 0.83 contig_69_71 # 60343 # 62796 # 1 # ID=62_71;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.363
contig_69:60343-62796|+  -            818 257at766             -            501   3.5e-07   25.6   0.5   3   3       1.5   2.4e+02   -3.5   0.0   227   249   763   785   761   787 0.90 contig_69_71 # 60343 # 62796 # 1 # ID=62_71;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.363
contig_81:5150-6640|-    -            497 257at766             -            501   5.3e-07   25.1   0.1   1   2   9.1e-09   1.4e-06   23.6   0.0   123   178   109   166    83   173 0.91 contig_81_6 # 5150 # 6640 # -1 # ID=74_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.371
contig_81:5150-6640|-    -            497 257at766             -            501   5.3e-07   25.1   0.1   2   2       1.3     2e+02   -3.3   0.0   185   196   305   316   302   329 0.79 contig_81_6 # 5150 # 6640 # -1 # ID=74_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.371
contig_84:75-1565|-      -            497 257at766             -            501   5.3e-07   25.1   0.1   1   2   9.1e-09   1.4e-06   23.6   0.0   123   178   109   166    83   173 0.91 contig_84_1 # 75 # 1565 # -1 # ID=76_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.371
contig_84:75-1565|-      -            497 257at766             -            501   5.3e-07   25.1   0.1   2   2       1.3     2e+02   -3.3   0.0   185   196   305   316   302   329 0.79 contig_84_1 # 75 # 1565 # -1 # ID=76_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.371
