#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_54:13766-15511|+  -            582 300at766             -            479  9.1e-204  673.8   8.5   1   1  1.7e-205    2e-203  672.6   8.5     4   479    18   562    15   562 0.90 contig_54_15 # 13766 # 15511 # 1 # ID=50_15;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_69:62809-64590|-  -            594 300at766             -            479   3.9e-48  160.5   0.4   1   2         1   1.2e+02   -2.7   0.2   227   227   169   169    97   215 0.60 contig_69_72 # 62809 # 64590 # -1 # ID=62_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
contig_69:62809-64590|-  -            594 300at766             -            479   3.9e-48  160.5   0.4   2   2   3.3e-50   3.9e-48  160.5   0.4   259   478   337   566   305   567 0.90 contig_69_72 # 62809 # 64590 # -1 # ID=62_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
contig_101:1338-3047|+   -            570 300at766             -            479   1.3e-47  158.8   0.2   1   1   1.1e-49   1.3e-47  158.8   0.2   274   478   346   556   307   557 0.94 contig_101_2 # 1338 # 3047 # 1 # ID=2_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
contig_121:11207-12982|+ -            592 300at766             -            479   2.5e-43  144.7   1.2   1   2     0.026         3    2.6   1.5    94   169   139   212   102   237 0.71 contig_121_7 # 11207 # 12982 # 1 # ID=17_7;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
contig_121:11207-12982|+ -            592 300at766             -            479   2.5e-43  144.7   1.2   2   2   2.1e-45   2.5e-43  144.7   1.2   265   477   347   569   294   571 0.91 contig_121_7 # 11207 # 12982 # 1 # ID=17_7;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
contig_71:9001-9774|-    -            258 300at766             -            479   2.1e-26   88.9   0.5   1   1   2.1e-28   2.5e-26   88.6   0.5   276   470    16   214     3   224 0.84 contig_71_8 # 9001 # 9774 # -1 # ID=65_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
contig_73:31759-32433|+  -            225 300at766             -            479   4.8e-26   87.7   0.4   1   1   4.9e-28   5.8e-26   87.4   0.4   275   468    20   220     6   223 0.85 contig_73_33 # 31759 # 32433 # 1 # ID=67_33;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_63:69667-70368|+  -            234 300at766             -            479     4e-25   84.6   1.3   1   1   4.3e-27   5.1e-25   84.3   1.3   274   478    17   219     1   220 0.79 contig_63_72 # 69667 # 70368 # 1 # ID=57_72;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.322
contig_63:21449-22144|+  -            232 300at766             -            479   7.7e-22   73.8   1.1   1   1   1.2e-23   1.4e-21   72.9   1.1   274   479    20   217     3   217 0.84 contig_63_18 # 21449 # 22144 # 1 # ID=57_18;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
contig_120:4367-5008|+   -            214 300at766             -            479   1.6e-20   69.4   1.3   1   1   6.1e-21   7.2e-19   64.0   1.3   272   471    11   195     3   202 0.82 contig_120_7 # 4367 # 5008 # 1 # ID=16_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.315
contig_108:23803-24561|+ -            253 300at766             -            479   1.3e-18   63.1   0.0   1   1   1.4e-20   1.6e-18   62.8   0.0   274   478    17   237     4   238 0.83 contig_108_21 # 23803 # 24561 # 1 # ID=5_21;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
contig_68:44009-44632|+  -            208 300at766             -            479   4.8e-18   61.3   0.0   1   1   5.1e-20     6e-18   61.0   0.0   274   453    13   187     3   197 0.87 contig_68_33 # 44009 # 44632 # 1 # ID=61_33;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.361
contig_63:8506-11301|+   -            932 300at766             -            479     9e-15   50.5   1.8   1   4    0.0062      0.73    4.6   0.1   276   305    13    42     8    46 0.92 contig_63_7 # 8506 # 11301 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_63:8506-11301|+   -            932 300at766             -            479     9e-15   50.5   1.8   2   4   1.5e-06   0.00017   16.6   0.0   388   462   474   551   461   573 0.84 contig_63_7 # 8506 # 11301 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_63:8506-11301|+   -            932 300at766             -            479     9e-15   50.5   1.8   3   4    0.0003     0.036    8.9   0.0   258   305   594   641   587   662 0.81 contig_63_7 # 8506 # 11301 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_63:8506-11301|+   -            932 300at766             -            479     9e-15   50.5   1.8   4   4   1.8e-06   0.00021   16.3   0.0   392   464   818   894   810   916 0.79 contig_63_7 # 8506 # 11301 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/300at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/run_rickettsiales_odb10/hmmer_output/300at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/300at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Jan 16 13:08:00 2026
# [ok]
