# BUSCO version is: 6.0.0 
# The lineage dataset is: rickettsiales_odb10 (Creation date: 2024-01-08, number of genomes: 34, number of BUSCOs: 364)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
3at766	Complete	contig_78	95585	104098	+	2071.8	1189	https://v10-1.orthodb.org/?query=3at766	DNA-directed RNA polymerase subunit beta'
12at766	Missing
14at766	Complete	contig_62	8481	11957	+	1381.8	897	https://v10-1.orthodb.org/?query=14at766	DNA polymerase III subunit alpha
22at766	Complete	contig_119	14751	10018	-	1446.9	1184	https://v10-1.orthodb.org/?query=22at766	NAD-glutamate dehydrogenase
43at766	Complete	contig_59	862	3522	+	1153.6	682	https://v10-1.orthodb.org/?query=43at766	SecA, preprotein cross-linking domain
47at766	Complete	contig_66	68105	65595	-	1040.9	704	https://v10-1.orthodb.org/?query=47at766	DNA mismatch repair protein MutS
49at766	Complete	contig_69	5460	8225	+	1090.2	718	https://v10-1.orthodb.org/?query=49at766	Pyruvate, phosphate dikinase
59at766	Complete	contig_108	18030	14683	-	714.6	623	https://v10-1.orthodb.org/?query=59at766	DNA helicase
60at766	Complete	contig_68	33733	30422	-	1315.1	804	https://v10-1.orthodb.org/?query=60at766	Isoleucine--tRNA ligase
100at766	Complete	contig_66	30960	28531	-	1031.9	611	https://v10-1.orthodb.org/?query=100at766	DNA gyrase subunit B
101at766	Complete	contig_72	65893	63251	-	963.6	674	https://v10-1.orthodb.org/?query=101at766	Alanine--tRNA ligase
117at766	Complete	contig_68	25534	27873	+	737.7	617	https://v10-1.orthodb.org/?query=117at766	Phenylalanine--tRNA ligase beta subunit
119at766	Complete	contig_69	60343	62796	+	1112.8	681	https://v10-1.orthodb.org/?query=119at766	Lon protease
129at766	Complete	contig_70	12577	9869	-	1220.4	754	https://v10-1.orthodb.org/?query=129at766	DNA gyrase subunit A
132at766	Complete	contig_72	60239	57834	-	1225.1	670	https://v10-1.orthodb.org/?query=132at766	CagE, TrbE, VirB component of type IV transporter system
150at766	Complete	contig_78	89075	91150	+	1040.7	576	https://v10-1.orthodb.org/?query=150at766	Elongation factor G
153at766	Complete	contig_78	129563	132079	+	1149.0	695	https://v10-1.orthodb.org/?query=153at766	Leucine--tRNA ligase
162at766	Complete	contig_119	17340	14779	-	1184.4	704	https://v10-1.orthodb.org/?query=162at766	Clp, N-terminal
170at766	Complete	contig_68	18310	20385	+	881.6	545	https://v10-1.orthodb.org/?query=170at766	Single hybrid motif
172at766	Complete	contig_71	19877	17808	-	969.4	589	https://v10-1.orthodb.org/?query=172at766	NADH-quinone oxidoreductase
