#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_63:62980-64308|+ -            443 1619at766            -            354  2.1e-148  490.3  11.1   1   1    2e-147    4e-145  479.5  11.1     2   354     6   442     5   442 0.83 contig_63_66 # 62980 # 64308 # 1 # ID=57_66;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.359
contig_82:40257-41582|- -            442 1619at766            -            354   1.9e-31  105.6   1.7   1   2   2.9e-16   5.8e-14   48.1   0.0   175   261     2    90     1    94 0.84 contig_82_46 # 40257 # 41582 # -1 # ID=75_46;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.373
contig_82:40257-41582|- -            442 1619at766            -            354   1.9e-31  105.6   1.7   2   2   7.9e-19   1.6e-16   56.5   0.4   173   259   174   266   150   334 0.78 contig_82_46 # 40257 # 41582 # -1 # ID=75_46;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.373
contig_89:10693-11577|- -            295 1619at766            -            354   3.6e-14   48.8   1.1   1   3   1.1e-15   2.2e-13   46.2   0.3   173   263     5    98     2   110 0.90 contig_89_10 # 10693 # 11577 # -1 # ID=78_10;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.350
contig_89:10693-11577|- -            295 1619at766            -            354   3.6e-14   48.8   1.1   2   3       0.1        21    0.3   0.1   261   261   137   137    99   174 0.54 contig_89_10 # 10693 # 11577 # -1 # ID=78_10;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.350
contig_89:10693-11577|- -            295 1619at766            -            354   3.6e-14   48.8   1.1   3   3      0.14        28   -0.2   0.0   265   293   141   170   123   203 0.72 contig_89_10 # 10693 # 11577 # -1 # ID=78_10;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.350
contig_64:2984-3577|-   -            198 1619at766            -            354   1.6e-06   23.6   0.4   1   1   1.3e-08   2.5e-06   23.0   0.4   176   212    28    65    23   189 0.70 contig_64_4 # 2984 # 3577 # -1 # ID=58_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
contig_68:5573-6667|+   -            365 1619at766            -            354   0.00013   17.4   0.2   1   1   1.1e-06   0.00023   16.5   0.2   176   217     4    45     1   177 0.88 contig_68_5 # 5573 # 6667 # 1 # ID=61_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.380
contig_70:55992-56660|- -            223 1619at766            -            354    0.0014   13.9   0.4   1   1   9.8e-06     0.002   13.5   0.4   262   351    81   163    69   166 0.78 contig_70_55 # 55992 # 56660 # -1 # ID=64_55;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.314
contig_85:5714-6736|+   -            341 1619at766            -            354    0.0064   11.8   0.1   1   2   0.00011     0.023   10.0   0.0   176   234   161   218   148   264 0.81 contig_85_5 # 5714 # 6736 # 1 # ID=77_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.362
contig_85:5714-6736|+   -            341 1619at766            -            354    0.0064   11.8   0.1   2   2      0.28        58   -1.2   0.0   260   280   270   290   250   304 0.79 contig_85_5 # 5714 # 6736 # 1 # ID=77_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.362
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/1619at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/run_rickettsiales_odb10/hmmer_output/1619at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/1619at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Jan 16 13:07:58 2026
# [ok]
