#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1165_pilon:1010682-1012427|- -            582 300at766             -            479    8e-204  673.8   8.5   1   1  1.5e-205  1.7e-203  672.6   8.5     4   479    18   562    15   562 0.90 contig_1165_pilon_993 # 1010682 # 1012427 # -1 # ID=1_993;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_1165_pilon:111190-112905|-   -            572 300at766             -            479   1.2e-47  158.8   0.2   1   1     1e-49   1.2e-47  158.8   0.2   274   478   346   556   307   557 0.94 contig_1165_pilon_101 # 111190 # 112905 # -1 # ID=1_101;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.356
contig_1165_pilon:1153680-1155455|- -            592 300at766             -            479   2.2e-43  144.7   1.2   1   2     0.024       2.7    2.6   1.5    94   169   139   212   102   237 0.71 contig_1165_pilon_1143 # 1153680 # 1155455 # -1 # ID=1_1143;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.317
contig_1165_pilon:1153680-1155455|- -            592 300at766             -            479   2.2e-43  144.7   1.2   2   2   1.9e-45   2.2e-43  144.7   1.2   265   477   347   569   294   571 0.91 contig_1165_pilon_1143 # 1153680 # 1155455 # -1 # ID=1_1143;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.317
contig_1165_pilon:350619-351392|+   -            258 300at766             -            479   1.8e-26   88.9   0.5   1   1   1.9e-28   2.2e-26   88.6   0.5   276   470    16   214     3   224 0.84 contig_1165_pilon_341 # 350619 # 351392 # 1 # ID=1_341;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.336
contig_1165_pilon:1072256-1072930|+ -            225 300at766             -            479   4.2e-26   87.7   0.4   1   1   4.5e-28   5.1e-26   87.4   0.4   275   468    20   220     6   223 0.85 contig_1165_pilon_1054 # 1072256 # 1072930 # 1 # ID=1_1054;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_1165_pilon:807291-807992|-   -            234 300at766             -            479   3.5e-25   84.6   1.3   1   1   3.9e-27   4.5e-25   84.3   1.3   274   478    17   219     1   220 0.79 contig_1165_pilon_787 # 807291 # 807992 # -1 # ID=1_787;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.323
contig_1165_pilon:855096-855791|-   -            232 300at766             -            479   6.7e-22   73.8   1.1   1   1   1.1e-23   1.2e-21   72.9   1.1   274   479    20   217     3   217 0.84 contig_1165_pilon_841 # 855096 # 855791 # -1 # ID=1_841;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
contig_1165_pilon:56166-56807|-     -            214 300at766             -            479   1.4e-20   69.4   1.3   1   1   5.6e-21   6.3e-19   64.0   1.3   272   471    11   195     3   202 0.82 contig_1165_pilon_54 # 56166 # 56807 # -1 # ID=1_54;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.315
contig_1165_pilon:140499-141257|-   -            253 300at766             -            479   1.2e-18   63.1   0.0   1   1   1.3e-20   1.4e-18   62.8   0.0   274   478    17   237     4   238 0.83 contig_1165_pilon_130 # 140499 # 141257 # -1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
contig_1165_pilon:104437-105060|+   -            208 300at766             -            479   4.2e-18   61.3   0.0   1   1   4.6e-20   5.3e-18   61.0   0.0   274   453    13   187     3   197 0.87 contig_1165_pilon_93 # 104437 # 105060 # 1 # ID=1_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
contig_1165_pilon:869647-872442|-   -            932 300at766             -            479   7.9e-15   50.5   1.8   1   4    0.0056      0.64    4.6   0.1   276   305    13    42     8    46 0.92 contig_1165_pilon_860 # 869647 # 872442 # -1 # ID=1_860;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
