#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_63:21449-22144|+  -            232 2809at766            -            212   4.1e-79  261.4  10.1   1   1   2.7e-79     3e-77  255.3  10.1     2   200     5   228     4   231 0.90 contig_63_18 # 21449 # 22144 # 1 # ID=57_18;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
contig_120:4367-5008|+   -            214 2809at766            -            212     4e-29   98.1   3.6   1   1   1.6e-30   1.8e-28   96.0   3.6     5   195     1   210     1   213 0.82 contig_120_7 # 4367 # 5008 # 1 # ID=16_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.315
contig_71:9001-9774|-    -            258 2809at766            -            212   7.1e-29   97.2   6.2   1   3   1.9e-11     2e-09   33.7   0.4     8    57     3    54     1    85 0.86 contig_71_8 # 9001 # 9774 # -1 # ID=65_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
contig_71:9001-9774|-    -            258 2809at766            -            212   7.1e-29   97.2   6.2   2   3      0.46        50   -0.3   0.0    12    30    87   105    73   109 0.82 contig_71_8 # 9001 # 9774 # -1 # ID=65_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
contig_71:9001-9774|-    -            258 2809at766            -            212   7.1e-29   97.2   6.2   3   3   3.3e-21   3.7e-19   65.5   0.5    80   204   113   242   107   247 0.86 contig_71_8 # 9001 # 9774 # -1 # ID=65_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
contig_63:69667-70368|+  -            234 2809at766            -            212     1e-27   93.5   3.6   1   2   9.6e-11   1.1e-08   31.3   0.1     2    55     2    55     1    61 0.95 contig_63_72 # 69667 # 70368 # 1 # ID=57_72;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.322
contig_63:69667-70368|+  -            234 2809at766            -            212     1e-27   93.5   3.6   2   2   2.9e-20   3.2e-18   62.4   1.0    84   193   112   224    90   232 0.84 contig_63_72 # 69667 # 70368 # 1 # ID=57_72;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.322
contig_101:1338-3047|+   -            570 2809at766            -            212   1.9e-26   89.3   0.4   1   2   1.6e-11   1.7e-09   33.9   0.0     6    54   332   383   328   391 0.87 contig_101_2 # 1338 # 3047 # 1 # ID=2_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
contig_101:1338-3047|+   -            570 2809at766            -            212   1.9e-26   89.3   0.4   2   2   2.5e-17   2.7e-15   52.8   0.1    94   180   463   546   450   565 0.86 contig_101_2 # 1338 # 3047 # 1 # ID=2_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
contig_108:23803-24561|+ -            253 2809at766            -            212   6.2e-26   87.6   0.2   1   2   1.1e-10   1.2e-08   31.2   0.0     6    52     6    52     1    59 0.90 contig_108_21 # 23803 # 24561 # 1 # ID=5_21;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
contig_108:23803-24561|+ -            253 2809at766            -            212   6.2e-26   87.6   0.2   2   2   7.5e-18   8.2e-16   54.6   0.2    94   192   143   241   122   250 0.86 contig_108_21 # 23803 # 24561 # 1 # ID=5_21;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
