#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1165_pilon:855096-855791|-   -            232 2809at766            -            212   3.6e-79  261.4  10.1   1   1   2.5e-79   2.6e-77  255.3  10.1     2   200     5   228     4   231 0.90 contig_1165_pilon_841 # 855096 # 855791 # -1 # ID=1_841;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
contig_1165_pilon:56166-56807|-     -            214 2809at766            -            212   3.5e-29   98.1   3.6   1   1   1.5e-30   1.5e-28   96.0   3.6     5   195     1   210     1   213 0.82 contig_1165_pilon_54 # 56166 # 56807 # -1 # ID=1_54;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.315
contig_1165_pilon:350619-351392|+   -            258 2809at766            -            212   6.2e-29   97.2   6.2   1   3   1.7e-11   1.8e-09   33.7   0.4     8    57     3    54     1    85 0.86 contig_1165_pilon_341 # 350619 # 351392 # 1 # ID=1_341;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.336
contig_1165_pilon:350619-351392|+   -            258 2809at766            -            212   6.2e-29   97.2   6.2   2   3      0.42        44   -0.3   0.0    12    30    87   105    73   109 0.82 contig_1165_pilon_341 # 350619 # 351392 # 1 # ID=1_341;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.336
contig_1165_pilon:350619-351392|+   -            258 2809at766            -            212   6.2e-29   97.2   6.2   3   3   3.1e-21   3.2e-19   65.5   0.5    80   204   113   242   107   247 0.86 contig_1165_pilon_341 # 350619 # 351392 # 1 # ID=1_341;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.336
contig_1165_pilon:807291-807992|-   -            234 2809at766            -            212   8.8e-28   93.5   3.6   1   2   8.9e-11   9.2e-09   31.3   0.1     2    55     2    55     1    61 0.95 contig_1165_pilon_787 # 807291 # 807992 # -1 # ID=1_787;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.323
contig_1165_pilon:807291-807992|-   -            234 2809at766            -            212   8.8e-28   93.5   3.6   2   2   2.7e-20   2.8e-18   62.4   1.0    84   193   112   224    90   232 0.84 contig_1165_pilon_787 # 807291 # 807992 # -1 # ID=1_787;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.323
contig_1165_pilon:111190-112905|-   -            572 2809at766            -            212   1.6e-26   89.4   0.4   1   2   1.5e-11   1.5e-09   33.9   0.0     6    54   332   383   328   391 0.87 contig_1165_pilon_101 # 111190 # 112905 # -1 # ID=1_101;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.356
contig_1165_pilon:111190-112905|-   -            572 2809at766            -            212   1.6e-26   89.4   0.4   2   2   2.2e-17   2.3e-15   52.9   0.1    94   180   463   546   450   567 0.86 contig_1165_pilon_101 # 111190 # 112905 # -1 # ID=1_101;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.356
contig_1165_pilon:140499-141257|-   -            253 2809at766            -            212   5.4e-26   87.6   0.2   1   2   9.8e-11     1e-08   31.2   0.0     6    52     6    52     1    59 0.90 contig_1165_pilon_130 # 140499 # 141257 # -1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
contig_1165_pilon:140499-141257|-   -            253 2809at766            -            212   5.4e-26   87.6   0.2   2   2     7e-18   7.2e-16   54.6   0.2    94   192   143   241   122   250 0.86 contig_1165_pilon_130 # 140499 # 141257 # -1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
