#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
wRi_Merrill23_polished:222954-223649|-   -            232 2809at766            -            212   3.7e-79  261.4  10.1   1   1     3e-79   2.7e-77  255.3  10.1     2   200     5   228     4   231 0.90 wRi_Merrill23_polished_216 # 222954 # 223649 # -1 # ID=1_216;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
wRi_Merrill23_polished:901578-902219|-   -            214 2809at766            -            212   3.5e-29   98.1   3.6   1   1   1.7e-30   1.6e-28   96.0   3.6     5   195     1   210     1   213 0.82 wRi_Merrill23_polished_865 # 901578 # 902219 # -1 # ID=1_865;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.315
wRi_Merrill23_polished:1085138-1085911|- -            258 2809at766            -            212   6.3e-29   97.2   6.2   1   3     2e-11   1.8e-09   33.7   0.4     8    57     3    54     1    85 0.86 wRi_Merrill23_polished_1044 # 1085138 # 1085911 # -1 # ID=1_1044;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
wRi_Merrill23_polished:1085138-1085911|- -            258 2809at766            -            212   6.3e-29   97.2   6.2   2   3       0.5        45   -0.3   0.0    12    30    87   105    73   109 0.82 wRi_Merrill23_polished_1044 # 1085138 # 1085911 # -1 # ID=1_1044;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
wRi_Merrill23_polished:1085138-1085911|- -            258 2809at766            -            212   6.3e-29   97.2   6.2   3   3   3.6e-21   3.2e-19   65.5   0.5    80   204   113   242   107   247 0.86 wRi_Merrill23_polished_1044 # 1085138 # 1085911 # -1 # ID=1_1044;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
wRi_Merrill23_polished:174729-175430|-   -            234 2809at766            -            212   8.9e-28   93.5   3.6   1   2     1e-10   9.4e-09   31.3   0.1     2    55     2    55     1    61 0.95 wRi_Merrill23_polished_163 # 174729 # 175430 # -1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.323
wRi_Merrill23_polished:174729-175430|-   -            234 2809at766            -            212   8.9e-28   93.5   3.6   2   2   3.1e-20   2.8e-18   62.4   1.0    84   193   112   224    90   232 0.84 wRi_Merrill23_polished_163 # 174729 # 175430 # -1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.323
wRi_Merrill23_polished:766697-768406|+   -            570 2809at766            -            212   1.7e-26   89.3   0.4   1   2   1.7e-11   1.5e-09   33.9   0.0     6    54   332   383   328   391 0.87 wRi_Merrill23_polished_742 # 766697 # 768406 # 1 # ID=1_742;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
wRi_Merrill23_polished:766697-768406|+   -            570 2809at766            -            212   1.7e-26   89.3   0.4   2   2   2.7e-17   2.4e-15   52.8   0.1    94   180   463   546   450   565 0.86 wRi_Merrill23_polished_742 # 766697 # 768406 # 1 # ID=1_742;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
wRi_Merrill23_polished:732683-733441|+   -            253 2809at766            -            212   5.5e-26   87.6   0.2   1   2   1.1e-10     1e-08   31.2   0.0     6    52     6    52     1    59 0.90 wRi_Merrill23_polished_705 # 732683 # 733441 # 1 # ID=1_705;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
wRi_Merrill23_polished:732683-733441|+   -            253 2809at766            -            212   5.5e-26   87.6   0.2   2   2   8.1e-18   7.3e-16   54.6   0.2    94   192   143   241   122   250 0.86 wRi_Merrill23_polished_705 # 732683 # 733441 # 1 # ID=1_705;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
