#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1165:905653-906564|+ -            304 2505at766            -            249   4.2e-99  327.2  11.6   1   1   1.8e-99   7.5e-97  319.8  11.6     1   249     2   300     2   300 0.87 contig_1165_909 # 905653 # 906564 # 1 # ID=1_909;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.371
contig_1165:724973-726316|+ -            448 2505at766            -            249   8.3e-39  129.7   7.3   1   4     0.095        40   -0.3   0.8    31    74    29    74     1    91 0.63 contig_1165_723 # 724973 # 726316 # 1 # ID=1_723;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.352
contig_1165:724973-726316|+ -            448 2505at766            -            249   8.3e-39  129.7   7.3   2   4     2e-41   8.3e-39  129.7   7.3    64   248    95   293    49   294 0.85 contig_1165_723 # 724973 # 726316 # 1 # ID=1_723;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.352
contig_1165:724973-726316|+ -            448 2505at766            -            249   8.3e-39  129.7   7.3   3   4      0.36   1.5e+02   -2.2   0.1    30    30   324   324   297   364 0.54 contig_1165_723 # 724973 # 726316 # 1 # ID=1_723;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.352
contig_1165:724973-726316|+ -            448 2505at766            -            249   8.3e-39  129.7   7.3   4   4      0.15        62   -0.9   0.2    10    35   413   437   405   445 0.57 contig_1165_723 # 724973 # 726316 # 1 # ID=1_723;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.352
contig_1165:828254-829729|+ -            492 2505at766            -            249       2.4    3.7  15.3   1   4   6.2e-05     0.026   10.1   1.0     6    73   199   268   194   273 0.84 contig_1165_822 # 828254 # 829729 # 1 # ID=1_822;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.358
contig_1165:828254-829729|+ -            492 2505at766            -            249       2.4    3.7  15.3   2   4     0.037        16    1.0   0.4    20    67   275   322   271   328 0.85 contig_1165_822 # 828254 # 829729 # 1 # ID=1_822;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.358
contig_1165:828254-829729|+ -            492 2505at766            -            249       2.4    3.7  15.3   3   4      0.04        17    0.9   1.0    26    69   329   372   321   398 0.62 contig_1165_822 # 828254 # 829729 # 1 # ID=1_822;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.358
contig_1165:828254-829729|+ -            492 2505at766            -            249       2.4    3.7  15.3   4   4      0.31   1.3e+02   -2.0   0.1    26    64   392   430   373   450 0.57 contig_1165_822 # 828254 # 829729 # 1 # ID=1_822;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.358
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/2505at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/run_rickettsiales_odb10/hmmer_output/2505at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/2505at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20250828_Nanopore/wRi/assembly/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Aug 29 11:53:22 2025
# [ok]
