#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_89:2468-3838|-   -            457 540at766             -            373  1.2e-164  544.0  26.7   1   1  2.6e-162  5.3e-160  528.8  26.7     1   373     1   448     1   448 0.85 contig_89_3 # 2468 # 3838 # -1 # ID=78_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.392
contig_69:52254-53627|+ -            458 540at766             -            373   1.2e-82  274.2  13.2   1   2   1.6e-27   3.2e-25   85.2   0.4     1    94     1   108     1   115 0.83 contig_69_62 # 52254 # 53627 # 1 # ID=62_62;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
contig_69:52254-53627|+ -            458 540at766             -            373   1.2e-82  274.2  13.2   2   2   3.1e-59   6.3e-57  189.5   7.2    83   372   120   449   108   450 0.82 contig_69_62 # 52254 # 53627 # 1 # ID=62_62;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
contig_54:39-977|-      -            313 540at766             -            373   2.9e-11   39.3   0.5   1   1     1e-12   2.1e-10   36.4   0.5     5   218     9   248     5   292 0.69 contig_54_1 # 39 # 977 # -1 # ID=50_1;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
contig_63:64612-65628|+ -            339 540at766             -            373   1.2e-06   24.1   0.9   1   2     7e-08   1.4e-05   20.5   0.4     4   144     3   160     1   185 0.56 contig_63_67 # 64612 # 65628 # 1 # ID=57_67;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.362
contig_63:64612-65628|+ -            339 540at766             -            373   1.2e-06   24.1   0.9   2   2     0.094        19    0.4   0.0   227   242   273   288   261   296 0.79 contig_63_67 # 64612 # 65628 # 1 # ID=57_67;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.362
contig_63:92959-94893|- -            645 540at766             -            373   9.3e-05   17.9   0.5   1   1   7.6e-07   0.00016   17.1   0.5     1    35     1    35     1    54 0.84 contig_63_95 # 92959 # 94893 # -1 # ID=57_95;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
contig_95:5058-6992|+   -            645 540at766             -            373   9.3e-05   17.9   0.5   1   1   7.6e-07   0.00016   17.1   0.5     1    35     1    35     1    54 0.84 contig_95_6 # 5058 # 6992 # 1 # ID=82_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.395
contig_68:13407-15206|- -            600 540at766             -            373   0.00027   16.3   0.5   1   2   3.5e-06   0.00072   14.9   0.1     2    34    11    43    10    60 0.92 contig_68_10 # 13407 # 15206 # -1 # ID=61_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.429
contig_68:13407-15206|- -            600 540at766             -            373   0.00027   16.3   0.5   2   2      0.96     2e+02   -3.0   0.0   338   367   520   549   476   551 0.81 contig_68_10 # 13407 # 15206 # -1 # ID=61_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.429
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/540at766.hmm
# Target file:     private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/run_rickettsiales_odb10/hmmer_output/540at766.out --cpu 1 /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco_downloads/lineages/rickettsiales_odb10/hmms/540at766.hmm private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly/busco/20251218_Merrill23_wRi/wRi/assembly/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie/Jacobs_et_al_2026_de_novo_wRi_merrill_23_assembly
# Date:            Fri Jan 16 13:08:02 2026
# [ok]
