# BUSCO version is: 6.0.0 
# The lineage dataset is: rickettsiales_odb10 (Creation date: 2024-01-08, number of genomes: 34, number of BUSCOs: 364)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
3at766	Complete	contig_1165_pilon	468065	459552	-	2071.8	1189	https://v10-1.orthodb.org/?query=3at766	DNA-directed RNA polymerase subunit beta'
12at766	Missing
14at766	Complete	contig_1165_pilon	1001761	998285	-	1381.8	897	https://v10-1.orthodb.org/?query=14at766	DNA polymerase III subunit alpha
22at766	Complete	contig_1165_pilon	284026	288759	+	1446.9	1184	https://v10-1.orthodb.org/?query=22at766	NAD-glutamate dehydrogenase
43at766	Complete	contig_1165_pilon	1220558	1217898	-	1153.6	682	https://v10-1.orthodb.org/?query=43at766	SecA, preprotein cross-linking domain
47at766	Complete	contig_1165_pilon	317206	319716	+	1040.9	704	https://v10-1.orthodb.org/?query=47at766	DNA mismatch repair protein MutS
49at766	Complete	contig_1165_pilon	1086544	1089309	+	1090.2	718	https://v10-1.orthodb.org/?query=49at766	Pyruvate, phosphate dikinase
59at766	Complete	contig_1165_pilon	147030	150377	+	714.6	623	https://v10-1.orthodb.org/?query=59at766	DNA helicase
60at766	Complete	contig_1165_pilon	93809	90498	-	1315.1	804	https://v10-1.orthodb.org/?query=60at766	Isoleucine--tRNA ligase
100at766	Complete	contig_1165_pilon	386469	384040	-	1031.9	611	https://v10-1.orthodb.org/?query=100at766	DNA gyrase subunit B
101at766	Complete	contig_1165_pilon	919018	921660	+	963.6	674	https://v10-1.orthodb.org/?query=101at766	Alanine--tRNA ligase
117at766	Complete	contig_1165_pilon	85610	87949	+	737.7	617	https://v10-1.orthodb.org/?query=117at766	Phenylalanine--tRNA ligase beta subunit
119at766	Complete	contig_1165_pilon	192412	194865	+	1112.8	681	https://v10-1.orthodb.org/?query=119at766	Lon protease
129at766	Complete	contig_1165_pilon	604545	607253	+	1220.4	754	https://v10-1.orthodb.org/?query=129at766	DNA gyrase subunit A
132at766	Complete	contig_1165_pilon	924672	927077	+	1225.1	670	https://v10-1.orthodb.org/?query=132at766	CagE, TrbE, VirB component of type IV transporter system
150at766	Complete	contig_1165_pilon	474575	472500	-	1040.7	576	https://v10-1.orthodb.org/?query=150at766	Elongation factor G
153at766	Complete	contig_1165_pilon	431168	428652	-	1149.0	695	https://v10-1.orthodb.org/?query=153at766	Leucine--tRNA ligase
162at766	Complete	contig_1165_pilon	281437	283998	+	1184.4	704	https://v10-1.orthodb.org/?query=162at766	Clp, N-terminal
170at766	Complete	contig_1165_pilon	78386	80461	+	881.6	545	https://v10-1.orthodb.org/?query=170at766	Single hybrid motif
172at766	Complete	contig_1165_pilon	340516	342585	+	969.4	589	https://v10-1.orthodb.org/?query=172at766	NADH-quinone oxidoreductase
176at766	Complete	contig_1165_pilon	885005	882732	-	861.7	573	https://v10-1.orthodb.org/?query=176at766	Polyribonucleotide nucleotidyltransferase
197at766	Complete	contig_1165_pilon	965323	963302	-	765.1	554	https://v10-1.orthodb.org/?query=197at766	Helicase, C-terminal
216at766	Complete	contig_1165_pilon	310277	312061	+	1000.2	520	https://v10-1.orthodb.org/?query=216at766	Ribonucleoside-diphosphate reductase
222at766	Complete	contig_1165_pilon	389350	391944	+	1046.1	665	https://v10-1.orthodb.org/?query=222at766	Aconitate hydratase
246at766	Complete	contig_1165_pilon	508154	505797	-	998.2	631	https://v10-1.orthodb.org/?query=246at766	2-oxoglutarate dehydrogenase E1 component
248at766	Duplicated	contig_1165_pilon	511040	509223	-	658.4	472	https://v10-1.orthodb.org/?query=248at766	DNA mismatch repair protein MutL
