REF	QUERY	REF_START	REF_END	Q_START	Q_END	ORIENTATION	INNIE(1/0)	OVERLAP_LEN	OVERLAP_PROP	NO_OVERLAP_AT_ENDS	OVERHANG
contig_8	 contig_8	2667	263002	868707	818437	L	0	523429	12.6481	41384	663736
contig_7	 contig_8	1	602773	895646	127755	R	0	1019073	225.959	4510	7668
contig_10	 contig_8	5439	419200	868707	452608	R	0	434128	1.11639	388866	21772
contig_41	 contig_8	12928	38046	129235	896980	R	0	15554	1.20312	12928	-1
contig_22	 contig_8	1	3462	850896	854357	L	0	3461	3461	1	-1
contig_23	 contig_8	1	4418	855849	860265	L	0	4416	4416	1	-1
contig_12	 contig_8	1	1656	435046	433388	L	0	1658	1658	1	-1
contig_18	 contig_8	1	3536	332677	329140	L	0	3537	3537	1	-1
contig_7	 contig_18	14803	602773	1	37631	L	1	318788	25.7046	12402	0
contig_8	 contig_18	3170	263002	11636	374437	L	0	167341	0.762009	219605	-1
contig_10	 contig_18	5941	419204	11636	11627	L	0	568347	1.59765	355740	28122
contig_24	 contig_18	1	2965	15714	18677	R	0	2963	2963	1	-1
contig_41	 contig_18	12925	13846	114902	417216	R	0	8173	0.220148	37125	-1
contig_12	 contig_18	1	1655	390846	392500	L	0	1654	827	2	-1
contig_10	 b0155e24-7c4d-4402-81db-c13df371a242	1	419200	35873	38625	L	0	35510	1.9917	17829	35872
contig_7	 b0155e24-7c4d-4402-81db-c13df371a242	24330	602773	45405	40120	L	1	37784	0.812559	46500	0
contig_8	 b0155e24-7c4d-4402-81db-c13df371a242	1	263005	40120	49862	L	0	49319	2.76591	17831	40119
contig_41	 b0155e24-7c4d-4402-81db-c13df371a242	1	38046	38629	565	L	0	38064	38064	1	-1
